Organization,PS_No,submissions,Problem_Statement_Title,Description,Category,Domain Bucket,Youtube Link,Dataset Link
Indian Space Research Organisation (ISRO),NM400,1,Link Adaptive Speech Compression scheme for Human Space Flight Programme,"The objective is to design light weight end to end communication protocol which facilitates satellite link adaptive speech compression schemes. When the satcom link becomes erroneous and information rate needs to be reduced to maintain the link quality, the speech encoding scheme needs to be changed to provide lower rates. The information on type of encoding used needs to be made available to the receiver as part of end to end protocol to support decoding. 

Desired Outcome: The participants must design, implement and demonstrate end to end communication protocol with point-to-point real-time speech communication (voice call) under variable link conditions using different available open source speech compression schemes like G729, CELP, MELP etc.  The rate adaptation with link condition to be demonstrated. Participants are encouraged to provide novel ways of determining link quality (self-learning) as part of end to end communication protocol.

DATA: Live speech stream may be generated through laptop mic. And satellite link quality (BER) can be simulated using available tools like MATLAB/C for testing and evaluation.",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM403,1,"Customized Web-based animation for data cube, volume rendering and time series data visualization","Develop software for animating multi-spectral, multi-temporal data (in the form of orthorectified data cube). User should be able to select parameters such as the band to visualize, the time-range or the time-step and animation speed parameters e.t.c.

The software should be web-based and support combining data from various satellite imaging sensors. The software system should be able to handle large volumes of data.

Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM405,1,"Processing, visualization and application development of raw GNSS data on Android Smartphones:","These days almost every android smartphone includes a GNSS sensor. Increasingly this GNSS sensor supports hosts of GNSS constellation like GPS, Galileo, Beidou, Glonass and QZSS. In near future it will support NavIC also. Until now, the smartphone GNSS chipsets were operating on single frequency at L1 only. However, some of the advanced smartphone chipsets now supports L5 band also. Along with this a major development has happened wherein the android has enabled access to raw GNSS data also. This opens up enormous opportunity to develop newer smartphone based GNSS applications enabling accuracy and integrity, which was not possible earlier. This problem statement deals with the processing and visualization of such raw GNSS observable from the android devices. 
Desired Outcome: The teams are free to bring out novel processing strategies and their implementation on android, utilizing the raw GNSS observables. Detection of interference, interference localization, spoofing detection, enhancing accuracy, fusion with other smartphone sensors are the capabilities to name a few.",Software,Software - Mobile App development,,
Indian Space Research Organisation (ISRO),NM406,1,Ethical hacking for extraction of restricted GNSS signal features,"The Global navigation Satellites transmit navigation signals for both civilian as well as strategic and military users. Concerning signals catering to civilian applications, all the necessary signal details are available and well documented. However, it is not available for the signals for strategic users. All the GNSS service provides be it, GPS, GLONASS, Galileo or Beidou is transmitting such signals for their strategic users. This problem deals with the subject of ethical hacking of strategic GNSS signals. Primarily the idea would be to process the recorded GNSS signals in order to extract the important signal feature such as, data rates, data frame lengths, correlation among data frames, spreading code structures, code lengths, overlay codes, spectral signatures etc.
Desired Outcome: Algorithms and processing software to extract the signal features from the recorded signals. As a test case GPS M-code signal can be considered.
DATA : Digitized signal records will be made available using ISRO facilities.",Software,Miscellaneous,,
BEML Limited,AK211,2,BH60M and BH100 with Electronic Transmission,"The Engine, Transmission , equipment dash board system and brake controls  equipped with embedded, digital control Electronic Control Units(ECU)  for  parameters monitoring, display, store and control application. These ECU's are programmable type for changing the configuration depending on power train combinations, customer requirements and field conditions. 
The ECUs are capable of sending vital/critical data of the equipment over CAN J1939 2.0B communication protocol. A data logger with J1939 2.0B protocol having connectivity with GPS/GPRS/Internet, if fitted, is capable of sending the vital data of the equipment to remote systems/computers.                      Outcome expected: 
1.	Explore the robustness of the current system and bring out the weak points by hacking into the control software and data stored in ECU.
a.	Un-authorized access of the ECUs.
b.	Retrieving of equipment vital/critical data with geo locations.
c.	Making malfunction/un-intended function of ECUs by injecting virus causing potential damages to Engine and Transmission.
d.	Altering of pre-loaded sequences to change the way of working of  Transmission. 
2.	Explore the prospect of replacing existing CAN protocols with new infrastructure or up gradation of existing protocols to avoid hacking. 
3.	Protect the software security functions by reinforcing interfaces and strengthening the application.
4.	Ensure that vehicles with wireless access points and data-collecting features are protected against hacking events and security breaches.
5.	Security measures to prevent remote access to vehicle electronics.
6.	Wireless technologies that could pose vulnerabilities to hacking or privacy intrusions.",Software,Smart Vehicles,,https://www.sih.gov.in/uploads/psData/ProblemStatementsmodifiedAK21120191217175732.pdf
Airports Authority of india,AK11,2,"A web based software is sought for fail-free operations of various CNS/ATM facilities, preventive maintenance is carried out on daily, weekly, monthly, six-montly and annual basis.","As current practice, for various CNS/ATM facilities, preventive maintenance is carried out on a daily, weekly, monthly, six-monthly and annual basis and has the following limitations: a.) paper based, subject to manipulation b.) localized - station based c.) non-standard compliance d.) missing linkage to equipment maintenance history e.) centralized monitoring not possible f.) storage for stipulated time is cumbersome. Project intents to achieve the below objectives: • Automating the existing manual reports into digitized reports. • Data warehousing for central monitoring and leakage detection. • Ensuring the operational data collected complies with the required Standard.",Software,Software - Web App development,,
Tripura Institute of Technology,DB126,2,"Simplification of the process of e-tendering in EVC (electronic verification code) system, replacing Digital Signature Certificate by Aadhaar based OTP.","In order to simplify the process of e-tendering and to make the system cost effective and user friendly, the EVC (electronic verification code) system are required to be performed through Aadhaar based OTP, instead of existing Digital Signature Certificate. Design efficient solutions that enable use of Aadhar OTP and DigiLocker for sharing the documents for eTendering. Check https://maharashtra.etenders.in/tnduploads/mah/pressnotices/FAQ.html",Software,Miscellaneous,,
"Central Water Commission, Ministry of Jal Shakti",SK155,2,Water Accounting in Irrigation Commands through Crowd Sourced Crop Mapping,"Lack of dynamic crop maps and opacity in water utilisation data prevents proper water accounting at the level of irrigation commands. Information regarding area under various crops is generally available at an aggregate level e.g. district wise cultivated area under individual crops. Non-availability ofactual crop maps preventsspatial visualisation of water utilisation and therefore proper water accounting. National Remote Sensing Centre (NRSC), Hyderabad generates yearly Land Use Land Cover (LULC) maps at a finer resolution of 56m containing land use classes of crop season and number of crops (single/multiple crop). Crowdsourced information from farmers, agricultural extension service providers, local administration and local population may be used for generation of crop type maps for a particular irrigation season which in turn may be used for preparation of water accounts at various spatial scales rangingfrom command of a major to minor irrigation project. Water Accounting at various spatial and temporal scales in commands of irrigation projects will help in informed decision making during the ensuing crop season and leads to optimal utilisation of irrigation water.",Software,Miscellaneous,https://youtu.be/5Xl9h3F1Zco,https://youtu.be/5Xl9h3F1Zco
Government of Andhra Pradesh,KB186,2,solutions required to solve the challenges faced by Law Investigating Officers (LEOs) in Cyber Crimes:,"1) Mechanism / tool that retrieves the information relating to transmission of a disputed posting and immediate deletion of the same within no time from WhatsApp messenger.

2) Mechanism / tool that capture the GPS coordinates & other credentials of certain message / posting posted using WhatsApp / Facebook and other messaging APPs.

3) Mechanism / tool that retrieves the initial user of certain posting in WhatsApp and Facebook using message ID.

4) Mechanism / tool that pings any social media account and capture the IP address and other credentials associated with that account.

5) Mechanism / tool / device that sends a signal to the target mobile and calculate the distance and direction from the source.

Contact: Superintendent of Police, Cyber Crimes, CID

email id: cybercrimes-cid@ap.gov.in",Software,Smart Communication,,
"National Jute Board, Min of Textiles",AR249,2,scientific way of assessing the quality parameters of raw jute produced/sold by farmers by linking with raw jute crop assessment through remote sensing application of NRSA/ISRO,Design a scientific method for assessing the quality parameters of raw jute produced/sold by farmers by linking with raw jute crop assessment through remote sensing application of NASA/ISRO. Download publically available images published by NASA and ISRO. Use this data to identify jute production as well as identify quality of crop based on their location and image parameters.,Hardware,Smart Textiles,https://www.youtube.com/watch?v=dfDSme1cN7A,https://www.youtube.com/watch?v=dfDSme1cN7A
"National Jute Board, Min of Textiles",AR255,2,Digital / Laser printing – creating a niche for Surat,"1.	Surat has emerged as a hub of fabric printing, as this activity is associated with the processing activity and is a value add over and above processing
2.	With over 500 process houses in and around Surat, printing has been a natural extension to value addition for all the process houses. Most of them have at least 4 printing machines, with capacity to print about 3000 to 30000 meters per machine per day depending upon the design.
3.	There exists a business opportunity for having small sized digital partners synchronized with the existing equipment to get value added output at one go, while most of the printers are imported, industry also plans to develop a prototype of Indian made printing machine in the long run.
4.	Surat leads in multi-color design printing on fabrics. It can become a hub for digital and Laster fabric printing for the world, should the units be equipped with printing equipment of varied sizes.
5.	The equipment for printing machines is an equally important area, in which the industry currently is looking for solutions, color transfer pump systems on a printing machines are the heart of the printer. The improvement to such systems is explained herein below:
 
(5.1) current scenario – the color feeding systems to the printing machines is manual in nature. This results in wastage of expensive printing colors by 25% to 30% as the process is dependent on human intervention. Apart from the wastage aspect, there is also more water required for washing which not only leads to higher costs, but has an adverse environmental impact.

(5.2) proposed changes- the industry is exploring design of an auto color feeding system, using pneumatic or gear based pumps. This will lead to reduced wastage, lesser use of water and meeting environmental compliances  
6.	An R&D facility would be needed in Surat in order to carry out the necessary development as suggested above and come up with firm findings on which system would be better for commercialization.
7.	The following graph shows the revenue projection of India’s technical textile machine manufacturing market till 2018",Hardware,Smart Textiles,,https://www.sih.gov.in/uploads/psData/NewDoc2019-11-191020191119104114.pdf
Govt. of Madhya Pradesh,MS340,2,"Requisitioning of data, information and documents","Requisitioning of Data, Information and Documents from various institutions, organizations and departments based on various probability using AI etc (using both API based and nodal officer channels) with automated  follow up and monitoring  provisions:-
a.	Telecom Service Providers:
i.	CDRs
ii.	PSTN Dumps
iii.	VLR Dumps
iv.	CAF
v.	SMS Tags related data
b.	Financial Institutions and Banks:
i.	IDs related data
ii.	Transaction related data
c.	Movement related information:
i.	Railways
ii.	Airlines
iii.	Roadway
d.	CCTV footages:
i.	Police CCTV Systems
ii.	Smarts City CCTV Systems
iii.	Malls and other business centers’ CCTV Systems
iv.	Private Institutions and Individuals CCTV Systems",Software,Software - Web App development,,
Ministry of Power,PK366,2,Remote Sensing /Satellite Imagery Application to Find Naturally Occurring Depression(s) Sites For Pump Storage Projects (PSP's),Desgn a Remote Sensing or Satellite Imagery based Application to identify Naturally Occurring Depression(s) Sites that can be used for Pump Storage Projects (PSP's). Use publically available dataset for the images with well known Naturally Occuring Depressions and use that to learn process of identifying them in any image.,Software,Energy / Renewable Energy,,
Indian Space Research Organisation (ISRO),NM388,2,Hyperspectral image analysis tool,"Hyperspectral Remote Sensing data provides data in large contiguous number more than 100 wavelength bands. In hyperspectral data the feature and its abundance is measured using its spectral response across these bands. Each feature behaves differently in different wavelength band and sensitive to particular wavelength region.

Develop a tool to analyse the spectrum of each pixel in a hyperspectral remote sensing data cube for absorption dip, width of absorption and other characteristics at different percentile of the absorption depth. The developed tool must also provide functionality to prepare map of each of these properties and its visualization.",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM399,2,Efficient Communication scheme for Human Space Flight Programme,"To increase the transmission reliability and better service quality, connectivity through multiple links or networks, i.e., multi-homing, is considered which provides robustness and offers concurrent data transfer over multiple paths. The real-time data streaming requires low delay, jitter free transmission medium. For real-time multiplexed streams, comprising audio, video and data, the transmission reliability requirement is different for each type of stream. So, there is a need of an efficient transmission technique for such multiplexed streams with different reliability parameter settings for each stream over a multi-homed networking environment. It is also required to have a suitable handoff mechanism in case of link failover with minimum handoff latency.   

The participants must design implement and demonstrate transmission protocol with point-to-point real-time Audio, video and data conferencing application over multi-homed network.

DATA : Live Audio, video stream may be generated through webcam and mic. attached to a laptop/desktop machine for testing and evaluation.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM401,2,Blind Scrambling Code Identification,"Satellite Link Monitoring and Analysis System requires identification of transmitted waveform parameters. Scrambler polynomial is one of the parameters. The objective is to identify the scrambler polynomial and initial seed (if any) used for scrambling on the dataset. The scrambling polynomials can be from any of the given standards namely DVB-S, CCSDS, DVBS2, V.35. 

Desired Outcome: The challenge is in developing an algorithm that can identify the scrambler polynomial from the scrambled dataset given with the problem. The scrambler used in generating the data can be either self–synchronous or synchronous. It is expected that the output of the developed algorithm should be polynomial estimation of the scrambler used in generating the waveform. Reasonable assumptions for the algorithm design can be taken.

DATA: Matlab generated scrambled dataset",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM402,2,Efficient Header Compression technique for IP based communication over Satellite network,"SATCOM networks operate under bandwidth & power limited scenarios. In order to effectively utilize the network resources, the overheads are required to be reduced (specially TCP/IP Headers) in the user traffic. The IP header compression scheme should accept TCP/IP traffic from users & provide header compressed data over satellite link. The header compression system should support all protocols & provide seamless communication among multiple users by minimizing the TCP/IP headers through elimination/caching static fields. 

The compression algorithm should be capable of maximizing Header compression factor for applications like VoIP, FTP, HTTP etc. & handling static/dynamic fields of TCP/IP headers during communication between multiple users.

Desired Outcome:  Complete algorithm development for header compression technique, system development and demonstration with different IP based services like – VoIP, FTP etc. Microcontroller based solution will be cheered 

DATA: Real Time VoIP calling, FTP between server & client etc.",Software,Miscellaneous,,
GAIL,BK224,3,Process Modeling,"Process Modeling: Develop a Asset Performance Monitoring (APM) platform based on ML algorithms to calculate the real-time reliability and efficiency of the process plant equipments such as heat exchangers, turbines, pumps, motors, compressors, expanders and reacting columns with respect to the design data. 
    Suggestions to optimize the operational parameters of the different equipment’s for getting the maximum possible efficiency in dynamic operational scenario. 
    For ex-  Developing the platform that enables the asset performance monitoring via calculation of the heat transfer efficiency of heat exchangers, optimized operational parameters and reliability for the rotating equipments such as turbines, compressors etc.",Software,Energy / Renewable Energy,https://youtu.be/rFDf8W-H_Yg,https://youtu.be/rFDf8W-H_Yg
GAIL,BK226,3,Design of alarms management and analytics,"- In Gas pipe line system SCADA is installed for the monitoring of the data. Various alarms in the large volumes appear.
- An application can be built to analyze those alarms in correlation with the sequence of process events to identify the pattern of alarms associated with process trips or anomaly so as to provide pro-active alert before such deviation.
- Pattern recognition of the alarms and sequence of the events required to predict the probable abnormality or deviation of the plant operations from the normal baseline operations.
- System to group similar type of alarms as per equipments, units and plants along with the identification of the critical alarms on the basis of process history.
- Identification of false positive and false negative alarms to be provided by the system.
- Alarm analysis report to be notified to the authorized user on daily basis via mail.
For ex- Developing the platform that identify the patterns from the large volumes of alarms on the basis of history alarms and sequence of process events and shall provide the prediction for the deviation associated with process and related assets.",Software,Energy / Renewable Energy,https://youtu.be/JNuyYTVuRm4,https://www.sih.gov.in/uploads/psData/Dataset20191211150600.pdf
Airports Authority of india,AK10,3,Rating an Airport Mapping Database,"An Airport Mapping Database (AMDB) is a Geographic Information System (GIS) database of an airport describing the spatial layout of the aerodrome in terms of features (e.g. runways, taxiways, and parking stands) with geometry described as points, lines or polygons and with attributes (e.g. Surface type). AMDB is intended primarily to improve the user’s situational awareness and/or to supplement surface navigation, thereby increasing safety margins and operational efficiency. AMDB represents a collection of aerodrome information that is organized and arranged for ease of electronic storage and retrieval in systems that support aerodrome surface movements, training, charting, and planning. Project intents to Create Aerodrome Maps and Charts using feature extraction from Satellite Imagery and blending that with existing Aerodrome Maps and provide an interactive 2D map containing a spatial layout of the aerodrome in terms of features (e.g. runways, taxiways, parking stands) with geometry described as points, lines or polygons, and with attributes (e.g. surface type). The aerodrome map, charts and data is available in Aeronautical Information Publication (AIP India) uploaded on website https://aim-india.aai.aero/eaip-v2-01-2019/index-en-GB.html",Software,Software - Web App development,,
Ministry of Women and Child Development,AS39,3,"In GeM Portal, provision for customization of terms and conditions for Annual Maintenance Contract of services as per the need of the services required by the organisation may be created.","GeM portal is a dedicated e market for different goods & services procured by Government Organisations / Departments / PSUs. It facilitates online procurement of common use Goods & Services required by various Government Departments / Organisations / PSUs. In GeM Portal, we are looking for provision of customization of terms and conditions for Annual Maintenance Contract of services as per the need of the services required by the organisation may be created. It could be module which would (1) Provides facility to review terms and conditions of services between concerned persons (2) Facility to add comment against/add/remove a particular point.",Software,Software - Web App development,,
Bureau of Police Research & Development,RK61,3,LEA & Judiciary Interactive Case Management System,"Smart and efficient Judiciary Interactive System: We often come across scenarios where stakeholders for a particular event (presentation, meeting, discussion, etc.) are at remote location. In such cases, we observe many problems in flawless conduction of presentation or meeting, etc. We are looking for software solution for smart and efficient judiciary interactive system. It should cover (1) facility for presentation to all the attendees (2) facility for discussion between Judiciary panel. Additional useful features are welcome.",Software,Smart Communication,,
Department of Atomic Energy,PC87,3,Network routing protocol for infrastructure less gateway devices in man-made emergency situations.,"In case of man-made emergency situations which disrupt public life on greater scale e.g. war, tested solutions for rapid communications among large numbers of devices is required for relief efforts as well as monitoring of environment. A Mobile Adhoc Network (MANET) protocol based on device geographical location information is conceptualized to serve as a gate way device. Problem is coding, simulation and testing of scalability. A network routing protocol is scalable in terms of number of nodes when it can accommodate additional nodes without increase of overhead for given limited area. The conceptualized MANET protocol shall establish the source to destination path similar to zone routing protocols (ZRP). The path to destination is referred at source, in terms of the geological zones therefore allowing movement of intermediate mobile devices across path without disturbing the path. The devices get assigned new zone automatically using the GPS. The simulation scenario shall be source node in searching a path to friendly destination device, exchange data (hello) and drop the link. The devices follow random mobility pattern in 2 D frame. For searching of devices there is pre condition of knowing past history or pattern or set of fixed zones where destination node can reside. This is close to real world scenario where destinations reside at known zones such as home, office, commutation route, friend’s place, entertainment hub in the area, railway station, airport etc. The MANET protocol, by nature of precondition, of knowing the possibility of location of devices; protects from spam connection and un authorized network broadcast. It is allowed to modify the protocol to certain level to improve security, privacy without diluting the basic principal. The simulation is required to test the claim of scalability level in terms of N devices in simulation. A set of software codes will be required to be developed for simulation of the routing protocol. The simulation can be done using open source network simulator. It is required to test and simulate the concept of this routing protocol and its scalability. The metric of scalability will be success in search, establishment and dropping the links between pairs of devices and amount of information shared when not having links. The largest possible MANET size is required to be in order of 1000s. All MANET devices shall be interchangeable and there will not be any infrastructure dedicated node. All devices shall be replaceable without affecting MANET performance. Fixed location nodes can be used. An example application can be MANET for police cars or disaster relief providers to enable connectivity in them without having to connect to any public network.
“For more clarity, email your question to pdhag@barc.gov.in”",Software,Smart Communication,,
"Department of Empowerment of Persons with Disabilities, Ministry of Social Justice and Empowerment",PD152,3,Problem Statement from PDUNIPPD (Hardware),"Hardware
1.	Universal access ATM machines for disabled (divyangjan)
2.	Universally accessible toilets for disabled (divyangjan) 
3.	Customised multifunctional convertible work surface for disabled to encourage various functional positions.",Hardware,Miscellaneous,,
Tripura Institute of Technology,DB162,3,Calls made to a particular number from a basic phone needs to be tracked accessing the location based information provided by the service provider on the fly and plot the location on map using Google services.,We are looking for solution when calls made to a particular number from a basic phone needs to be tracked accessing the location based information provided by the service provider on the fly and plot the location on map using Google services.,Hardware,Smart Communication,,
Ministry of Rural Development,MK206,3,Non network intensive record keeping system for SHG,"Under DAY-NRLM program, financial assistance is provided to SHGs (Self help groups) to help mobilize
them, become self creating efficient and effective institutional platforms of the rural poor enabling
them to increase household income through sustainable livelihood enhancements and improved
access to financial services.

A lot of transactional related activities and data entry, reporting, monitoring and tracking is being
performed for over 5 crore SHG members (women) over 50 Lakh SHG groups.

Low network connectivity is a challenge for doing the data entry for various SHGs transaction at the
village level. A solution is required which is able to help perform the record keeping, data entries,
transactions capture at ground level itself (preferably real time) with less challenges and data gaps,
for the scheme even when there is low network connectivity.

Sample Data Required: No",Software,Software - Mobile App development,,
Ministry of Communications,PJ235,3,Mapping of Telecom infrastructure in GIS application,"Mapping of Telecom infrastructure in GIS application. At
present GIS based DBT mobile app has feature to search
ATM, Bank Branches, Bank Mitras and places. If this DBT
app include the details of Telecom Infrastructure (Mobile
Towers Wi-Fi Hotspots/APs, Telephone exchanges etc.)
then it would be more useful for Public Government
authorities can also use this information to facilitate Eservices and to provide coverage in Telecom uncovered
areas.",Software,Software - Mobile App development,,
"National Jute Board, Min of Textiles",AR244,3,Automated Inspection of manufacturing Process,"Inspection is critical point of manufacturing process as it helps to determine quality and quantity orders, by making this inspection process automated using software processes, the cost of inspection in long run can be reduced and good quality of the bales can be assured, with minimum human errors. This process can be further associated to marking, packaging and loading accurately.
For instance, can there be a digital solution to ensure that only those bales that are inspected are dispatched to the consignee without tampering of the pack-sheet. In such case of tampering, whether it is possible to generate sirens with help of digital, tamperproof tags",Software,Software - Web App development,,
Indian Space Research Organisation (ISRO),NM389,3,Web based volume rendering and 3D/4D visualization of Model Forecast,"The numerical weather models are used for generating forecast, these model forecast contains 4D information (i.e., Latitude, Longitude, Height/pressure and Time). These model forecasts are Gridded at a defined sampling interval, and are very useful for planning and decision supports.

WebGL is a Javascript API for rendering high-performance interactive 3D and 2D graphics.
The participants must develop a web-based tool for 3D/4D visualization of model forecast.",Software,Software - Web App development,,
